city,date,PM2.5,AQI
Beijing,20140728,108.3333333,472.2222222
Beijing,20140729,113.9166667,475.9444444
Beijing,20140730,134.2916667,489.5277778
Beijing,20140731,190.7083333,527.1388889
Beijing,20140801,137.3478261,491.5652174
Beijing,20140802,107.9166667,471.9444444
Beijing,20140803,111.9166667,474.6111111
Beijing,20140804,37.09090909,424.7272727
Beijing,20140805,24.79166667,416.5277778
Beijing,20140806,37.45833333,424.9722222
Beijing,20140807,65.43478261,443.6231884
Beijing,20140808,62.875,441.9166667
Beijing,20140809,80.58333333,453.7222222
Beijing,20140810,39.29166667,426.1944444
Beijing,20140811,25.69565217,417.1304348
Beijing,20140812,28.91304348,419.2753623
Beijing,20140813,26.54545455,417.6969697
Beijing,20140814,32.16666667,421.4444444
Beijing,20140815,44.30434783,429.5362319
Beijing,20140816,69.20833333,446.1388889
Beijing,20140817,49.95833333,433.3055556
Beijing,20140818,60.04761905,440.031746
Beijing,20140819,81.41666667,454.2777778
Beijing,20140820,94.73333333,463.1555556
Beijing,20140821,124.7916667,483.1944444
Beijing,20140822,59.60869565,439.7391304
Beijing,20140823,121.1666667,480.7777778
Beijing,20140824,20.95652174,413.9710145
Beijing,20140825,16.20833333,410.8055556
Beijing,20140826,24.65217391,416.4347826
Beijing,20140827,55.625,437.0833333
Beijing,20140828,81.54545455,454.3636364
Beijing,20140829,84.52173913,456.3478261
Beijing,20140830,142.6666667,495.1111111
Beijing,20140831,81.125,454.0833333
Beijing,20140901,107.2727273,471.5151515
Beijing,20140902,22.58333333,415.0555556
Beijing,20140903,12.54166667,408.3611111
Beijing,20140904,44.13043478,429.4202899
Beijing,20140905,96.91666667,464.6111111
Beijing,20140906,135.4583333,490.3055556
Beijing,20140907,143.875,495.9166667
Beijing,20140908,8.25,405.5
Beijing,20140909,38.43478261,425.6231884
Beijing,20140910,68.83333333,445.8888889
Beijing,20140911,94.66666667,463.1111111
Beijing,20140912,67.83333333,445.2222222
Beijing,20140913,63.5,442.3333333
Beijing,20140914,45.08333333,430.0555556
Beijing,20140915,24.33333333,416.2222222
Beijing,20140916,44.27272727,429.5151515
Beijing,20140917,34.95833333,423.3055556
Beijing,20140918,63.77272727,442.5151515
Beijing,20140919,96.5,464.3333333
Beijing,20140920,135.0833333,490.0555556
Beijing,20140921,92.75,461.8333333
Beijing,20140922,99.25,466.1666667
Beijing,20140923,56.90909091,437.9393939
Beijing,20140924,32,421.3333333
Beijing,20140925,111,474
Beijing,20140926,131.625,487.75
Beijing,20140927,34.70833333,423.1388889
